name,conf,bpi,off,def,ppg,oppg
Vermont Catamounts,Am. East,6.2,2.6,3.6,0,0
UMass Lowell River Hawks,Am. East,3.1,1.2,1.9,0,0
Bryant Bulldogs,Am. East,0.5,-1.8,2.3,0,0
New Hampshire Wildcats,Am. East,-1.7,-3.1,1.4,0,0
Maine Black Bears,Am. East,-1.8,-4.2,2.5,0,0
UAlbany Great Danes,Am. East,-2.5,-0.3,-2.2,0,0
Binghamton Bearcats,Am. East,-3.7,-2.0,-1.7,0,0
UMBC Retrievers,Am. East,-4.5,-1.0,-3.5,0,0
NJIT Highlanders,Am. East,-9.4,-4.9,-4.5,0,0
Duke Blue Devils,ACC,17.4,11.2,6.1,0,0
North Carolina Tar Heels,ACC,16.2,8.1,8.1,0,0
Clemson Tigers,ACC,12.4,8.1,4.4,0,0
Wake Forest Demon Deacons,ACC,11.7,7.3,4.4,0,0
Pittsburgh Panthers,ACC,11.1,6.4,4.8,0,0
Virginia Tech Hokies,ACC,9.7,7.1,2.7,0,0
Virginia Cavaliers,ACC,9.0,0.5,8.5,0,0
NC State Wolfpack,ACC,7.3,5.1,2.2,0,0
Florida State Seminoles,ACC,6.6,2.8,3.7,0,0
Miami Hurricanes,ACC,6.5,4.4,2.1,0,0
Boston College Eagles,ACC,6.1,4.5,1.5,0,0
Syracuse Orange,ACC,5.6,2.7,2.9,0,0
Georgia Tech Yellow Jackets,ACC,2.4,1.3,1.0,0,0
Notre Dame Fighting Irish,ACC,2.1,-2.6,4.7,0,0
Louisville Cardinals,ACC,-2.7,-0.5,-2.2,0,0
Dayton Flyers,A-10,11.9,8.1,3.8,0,0
Richmond Spiders,A-10,7.0,2.3,4.7,0,0
VCU Rams,A-10,6.2,2.4,3.8,0,0
Massachusetts Minutemen,A-10,6.1,3.4,2.7,0,0
St. Bonaventure Bonnies,A-10,6.0,4.4,1.6,0,0
Saint Joseph's Hawks,A-10,5.9,3.9,1.9,0,0
Loyola Chicago Ramblers,A-10,5.3,0.1,5.2,0,0
George Mason Patriots,A-10,5.2,1.9,3.4,0,0
Duquesne Dukes,A-10,5.1,0.4,4.7,0,0
Davidson Wildcats,A-10,2.0,0.1,1.9,0,0
La Salle Explorers,A-10,-1.0,-0.3,-0.7,0,0
Fordham Rams,A-10,-1.1,-3.4,2.3,0,0
Saint Louis Billikens,A-10,-2.3,2.4,-4.6,0,0
George Washington Revolutionaries,A-10,-2.7,0.1,-2.8,0,0
Rhode Island Rams,A-10,-2.9,0.2,-3.0,0,0
UConn Huskies,Big East,19.6,12.4,7.2,0,0
Creighton Bluejays,Big East,16.7,10.8,5.9,0,0
Marquette Golden Eagles,Big East,15.1,8.7,6.4,0,0
Villanova Wildcats,Big East,12.1,5.0,7.1,0,0
St. John's Red Storm,Big East,11.7,6.8,4.9,0,0
